Employee_ID,Skill_ID,Skill_Level,Skill_Name
1,3,intermediate,Data Analysis
1,4,advanced,Business Strategy
1,1,intermediate,Digital Marketing
2,3,advanced,Data Analysis
2,4,beginner,Business Strategy
2,2,intermediate,Client Communication
3,4,expert,Business Strategy
4,5,beginner,SQL
4,4,advanced,Business Strategy
5,4,beginner,Business Strategy
5,5,expert,SQL
6,12,advanced,Python
6,5,advanced,SQL
7,3,beginner,Data Analysis
7,7,beginner,Problem Solving
7,12,advanced,Python
8,7,advanced,Problem Solving
9,7,intermediate,Problem Solving
9,11,intermediate,Data Visualization
10,7,intermediate,Problem Solving
10,5,advanced,SQL
11,7,expert,Problem Solving
11,3,intermediate,Data Analysis
11,5,beginner,SQL
12,7,expert,Problem Solving
12,12,beginner,Python
13,3,intermediate,Data Analysis
14,7,beginner,Problem Solving
15,12,advanced,Python
16,12,advanced,Python
17,5,expert,SQL
17,12,intermediate,Python
17,6,expert,Java
18,6,intermediate,Java
18,5,intermediate,SQL
19,6,advanced,Java
19,12,advanced,Python
20,5,beginner,SQL
20,7,advanced,Problem Solving
21,12,advanced,Python
21,6,beginner,Java
22,12,beginner,Python
23,6,beginner,Java
23,5,expert,SQL
24,6,intermediate,Java
25,5,expert,SQL
25,6,expert,Java
25,12,intermediate,Python
26,8,advanced,Project Planning
26,9,expert,Leadership
26,7,advanced,Problem Solving
27,4,expert,Business Strategy
27,9,expert,Leadership
28,9,advanced,Leadership
29,4,beginner,Business Strategy
29,9,intermediate,Leadership
29,7,intermediate,Problem Solving
30,8,beginner,Project Planning
31,8,advanced,Project Planning
31,3,advanced,Data Analysis
31,7,advanced,Problem Solving
32,7,expert,Problem Solving
32,6,intermediate,Java
32,10,intermediate,Legal Compliance
33,3,expert,Data Analysis
33,6,expert,Java
34,6,expert,Java
34,7,expert,Problem Solving
35,7,expert,Problem Solving
35,10,beginner,Legal Compliance
35,6,expert,Java
36,10,beginner,Legal Compliance
36,7,intermediate,Problem Solving
36,3,advanced,Data Analysis
37,3,beginner,Data Analysis
37,6,advanced,Java
38,3,intermediate,Data Analysis
39,3,beginner,Data Analysis
39,6,advanced,Java
40,6,advanced,Java
40,3,advanced,Data Analysis
40,7,intermediate,Problem Solving
41,7,advanced,Problem Solving
41,3,intermediate,Data Analysis
42,5,advanced,SQL
42,9,beginner,Leadership
42,6,beginner,Java
43,6,beginner,Java
43,5,expert,SQL
43,7,intermediate,Problem Solving
44,5,expert,SQL
45,5,beginner,SQL
45,7,expert,Problem Solving
46,9,intermediate,Leadership
46,7,expert,Problem Solving
46,6,expert,Java
47,10,intermediate,Legal Compliance
47,7,advanced,Problem Solving
48,10,intermediate,Legal Compliance
49,5,advanced,SQL
49,7,advanced,Problem Solving
49,3,beginner,Data Analysis
50,2,intermediate,Client Communication
51,5,expert,SQL
51,7,beginner,Problem Solving
52,7,advanced,Problem Solving
52,2,beginner,Client Communication
53,5,beginner,SQL
53,7,advanced,Problem Solving
54,10,beginner,Legal Compliance
54,7,beginner,Problem Solving
55,5,beginner,SQL
55,7,expert,Problem Solving
56,10,intermediate,Legal Compliance
56,5,expert,SQL
56,7,beginner,Problem Solving
57,7,beginner,Problem Solving
57,5,intermediate,SQL
58,7,advanced,Problem Solving
59,5,beginner,SQL
59,7,intermediate,Problem Solving
60,10,intermediate,Legal Compliance
61,7,advanced,Problem Solving
61,5,advanced,SQL
62,7,expert,Problem Solving
62,5,intermediate,SQL
62,10,advanced,Legal Compliance
63,7,advanced,Problem Solving
64,10,expert,Legal Compliance
65,7,expert,Problem Solving
65,10,intermediate,Legal Compliance
66,5,beginner,SQL
66,10,expert,Legal Compliance
66,7,beginner,Problem Solving
67,5,expert,SQL
67,7,advanced,Problem Solving
68,7,intermediate,Problem Solving
69,5,beginner,SQL
69,10,expert,Legal Compliance
69,7,expert,Problem Solving
70,5,expert,SQL
70,10,intermediate,Legal Compliance
70,7,advanced,Problem Solving
71,10,expert,Legal Compliance
71,7,beginner,Problem Solving
72,10,beginner,Legal Compliance
73,7,advanced,Problem Solving
73,10,intermediate,Legal Compliance
73,5,intermediate,SQL
74,7,beginner,Problem Solving
74,5,intermediate,SQL
75,7,expert,Problem Solving
76,7,intermediate,Problem Solving
76,10,expert,Legal Compliance
77,5,expert,SQL
78,10,expert,Legal Compliance
79,10,advanced,Legal Compliance
79,5,expert,SQL
80,10,intermediate,Legal Compliance
80,5,advanced,SQL
81,10,advanced,Legal Compliance
81,7,beginner,Problem Solving
81,5,advanced,SQL
82,7,advanced,Problem Solving
82,5,expert,SQL
82,10,expert,Legal Compliance
83,7,beginner,Problem Solving
83,10,expert,Legal Compliance
83,5,beginner,SQL
84,5,intermediate,SQL
85,7,intermediate,Problem Solving
85,10,expert,Legal Compliance
85,5,expert,SQL
86,5,beginner,SQL
87,10,advanced,Legal Compliance
87,5,expert,SQL
87,7,expert,Problem Solving
88,10,expert,Legal Compliance
88,7,advanced,Problem Solving
88,5,intermediate,SQL
89,10,intermediate,Legal Compliance
89,7,expert,Problem Solving
89,5,beginner,SQL
90,5,intermediate,SQL
90,7,expert,Problem Solving
90,10,beginner,Legal Compliance
91,7,intermediate,Problem Solving
91,10,expert,Legal Compliance
91,5,intermediate,SQL
92,10,expert,Legal Compliance
92,5,advanced,SQL
92,7,beginner,Problem Solving
93,10,beginner,Legal Compliance
94,7,beginner,Problem Solving
94,5,beginner,SQL
95,7,beginner,Problem Solving
96,10,advanced,Legal Compliance
96,7,beginner,Problem Solving
96,5,expert,SQL
97,7,intermediate,Problem Solving
97,5,intermediate,SQL
98,10,beginner,Legal Compliance
99,10,beginner,Legal Compliance
100,7,intermediate,Problem Solving
100,10,advanced,Legal Compliance
101,5,intermediate,SQL
101,10,advanced,Legal Compliance
102,7,advanced,Problem Solving
102,10,expert,Legal Compliance
102,5,intermediate,SQL
