Emp ID,Job Competence,Work Quality,Problem-Solving Skills,Professional Knowledge,Work Consistency,Teamwork and Collaboration,Leadership Abilities,Communication Skills,Initiative and Creativity,Adaptability,Score,Performance Rating
1,3,8,2,5,9,1,8,9,5,5,55,2
2,10,1,5,10,7,5,5,6,4,9,62,3
3,8,9,0,6,8,1,0,5,0,2,39,1
4,9,9,2,8,1,1,2,7,10,7,56,2
5,3,3,2,3,10,4,8,10,7,7,57,2
6,5,5,7,3,1,2,4,0,4,10,41,1
7,3,1,3,0,1,4,7,1,6,6,32,1
8,2,8,4,1,5,3,7,9,4,7,50,2
9,10,8,0,4,3,3,10,6,10,2,56,2
10,6,4,3,5,8,1,8,6,6,2,49,2
11,10,0,0,3,2,10,6,4,1,8,44,1
12,7,10,2,8,3,8,6,7,9,7,67,3
13,5,2,7,7,0,0,6,3,7,8,45,2
14,10,5,2,8,9,9,7,2,10,5,67,3
15,2,2,3,5,3,4,0,2,6,1,28,1
16,7,7,1,3,0,6,10,8,1,2,45,2
17,4,7,10,1,8,10,7,10,4,5,66,3
18,10,9,7,2,2,5,9,4,6,10,64,3
19,3,1,0,0,10,0,4,9,6,10,43,1
20,6,7,8,9,3,7,0,4,1,3,48,2
21,10,6,5,7,8,6,9,10,1,5,67,3
22,6,9,1,4,0,0,5,3,8,8,44,1
23,5,5,7,6,0,3,0,4,4,6,40,1
24,10,1,5,10,3,2,0,10,0,0,41,1
25,1,0,9,3,8,9,7,0,2,1,40,1
26,0,9,4,9,5,6,7,9,10,3,62,3
27,5,10,9,10,0,4,6,1,6,10,61,3
28,8,5,10,2,9,8,5,10,10,6,73,3
29,9,7,9,6,2,2,7,5,9,8,64,3
30,7,9,5,7,10,7,3,5,8,7,68,3
31,7,9,1,7,5,7,7,8,9,0,60,3
32,3,3,5,0,9,7,6,1,0,8,42,1
33,0,5,9,8,8,9,7,10,7,4,67,3
34,7,0,0,4,5,4,10,2,2,9,43,1
35,10,0,10,0,5,7,0,7,0,2,41,1
36,4,4,2,5,2,9,0,2,5,3,36,1
37,1,0,6,6,0,0,3,9,6,4,35,1
38,4,3,10,3,4,6,5,6,5,8,54,2
39,7,4,7,5,9,6,8,0,6,3,55,2
40,7,2,8,8,9,8,2,7,1,5,57,2
41,8,5,5,9,0,5,0,1,9,6,48,2
42,0,4,0,1,2,9,6,4,0,3,29,1
43,10,8,8,5,9,4,2,4,10,5,65,3
44,0,4,2,7,8,1,2,6,2,1,33,1
45,6,3,0,1,1,8,9,2,3,6,39,1
46,10,2,5,2,3,6,9,6,4,8,55,2
47,9,8,1,5,3,1,5,9,8,3,52,2
48,9,3,0,7,8,0,9,6,0,9,51,2
49,2,10,6,4,10,5,6,3,1,5,52,2
50,6,9,6,3,2,0,1,6,5,0,38,1
51,4,9,4,10,8,3,6,9,7,5,65,3
52,7,5,6,0,2,1,7,0,0,8,36,1
53,10,9,1,2,9,9,9,2,6,9,66,3
54,0,10,3,7,8,3,6,4,4,0,45,2
55,4,7,4,0,6,9,9,5,5,9,58,2
56,3,6,5,0,2,1,6,6,2,0,31,1
57,5,0,3,9,1,9,3,1,8,2,41,1
58,6,2,10,10,3,7,9,7,8,10,72,3
59,10,10,7,6,7,6,6,8,5,5,70,3
60,6,3,5,3,4,7,4,9,6,0,47,2
61,10,7,10,4,6,3,1,8,0,7,56,2
62,0,4,10,7,0,1,0,7,0,8,37,1
63,9,1,1,6,2,2,1,5,8,5,40,1
64,3,3,1,10,9,5,0,7,9,4,51,2
65,7,5,4,0,2,6,1,2,2,9,38,1
66,9,2,2,6,5,3,5,4,1,9,46,2
67,10,2,4,7,8,1,1,8,10,2,53,2
68,6,1,10,7,4,2,4,6,7,9,56,2
69,9,10,5,9,8,7,10,1,10,7,76,4
70,4,10,5,4,9,7,5,5,4,2,55,2
71,9,8,6,1,5,2,4,1,2,1,39,1
72,5,2,0,0,7,8,10,7,9,5,53,2
73,2,4,9,9,2,3,7,3,2,9,50,2
74,5,8,1,9,5,6,5,7,3,7,56,2
75,7,4,0,10,5,10,1,0,6,2,45,2
76,0,10,9,6,7,9,8,9,3,5,66,3
77,8,2,7,6,6,5,1,3,0,3,41,1
78,3,7,3,8,2,1,10,5,0,9,48,2
79,9,9,5,0,0,1,3,5,3,6,41,1
80,9,7,7,5,5,2,0,5,4,9,53,2
81,7,6,5,2,7,5,9,4,5,5,55,2
82,1,1,7,5,3,7,7,2,3,8,44,1
83,10,10,4,5,6,1,5,1,5,3,50,2
84,5,10,5,2,9,8,7,7,0,10,63,3
85,4,10,10,9,9,0,3,3,7,10,65,3
86,5,3,0,5,0,2,3,1,5,5,29,1
87,1,4,3,7,0,2,7,4,6,5,39,1
88,2,9,8,7,0,9,7,1,4,3,50,2
89,5,0,8,0,8,8,7,5,10,0,51,2
90,9,7,0,1,8,8,10,1,9,0,53,2
91,5,1,4,10,7,1,5,6,1,9,49,2
92,4,7,1,4,10,4,6,8,5,2,51,2
93,6,6,10,0,2,9,1,10,10,8,62,3
94,2,2,4,1,5,2,9,0,4,10,39,1
95,10,5,4,10,1,10,10,1,8,2,61,3
96,9,5,10,6,10,8,2,0,0,1,51,2
97,3,2,0,10,9,7,5,4,2,7,49,2
98,10,2,7,10,1,4,6,10,10,0,60,3
99,2,7,2,4,9,4,5,3,9,8,53,2
100,6,8,6,2,10,2,6,10,4,5,59,2
